mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.20545287132263185,0.046866628766379204,0.0036769390106201174,0.00026426173340200293,0.01,0.01,3,500,0.8,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",-0.20980473618612394,-0.023680930619027762,0.1624428749480682,-0.25633568757789793,-0.20980473618612394,-0.10743664312422108,0.15683070620619072,9,0.4583333333333333,0.5416666666666666,0.5909090909090909,0.4489795918367347,0.4583333333333333,0.4996444032158318,0.056701403769275995,77,0.7798088907353552,0.8325716659742418,0.8396343996676361,0.8209389281262983,0.8105525550477773,0.8167012879102618,0.020950465362352694,1,-0.48181205582971576,-0.44320263021395917,-0.4008918628686366,-0.49099025303098287,-0.48181205582971576,-0.45974177155460205,0.033726895615163316,9
0.16402139663696289,0.07348262670626982,0.0035966873168945313,0.00032824690702587864,0.1,0.01,3,500,0.8,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.8}",-0.20980473618612394,-0.07021188201080175,0.1624428749480682,-0.3028666389696719,-0.25633568757789793,-0.13535521395928546,0.16802764017864505,27,0.4583333333333333,0.5106382978723404,0.5909090909090909,0.44,0.4489795918367347,0.48977206279029983,0.0562028039406709,91,0.7814707104279186,0.8309098462816784,0.840049854590777,0.8209389281262983,0.8101371001246365,0.8167012879102618,0.02024489289995542,1,-0.48181205582971576,-0.4531634835874829,-0.4008918628686366,-0.5,-0.49099025303098287,-0.4653715310633636,0.03586754707090591,34
0.11546354293823242,0.008931958175607818,0.003401327133178711,0.00019791863666348912,0.1,0.01,3,500,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.5}",-0.16327378479434995,-0.11674283340257574,0.20897382633984218,-0.3028666389696719,-0.25633568757789793,-0.12604902368093068,0.17997315461995322,21,0.4897959183673469,0.52,0.6222222222222222,0.4166666666666667,0.4489795918367347,0.4995328798185941,0.07069488011755218,78,0.788117989198172,0.8321562110511009,0.834648940589946,0.8080598255089323,0.8196925633568758,0.8165351059410055,0.01709656322341395,3,-0.472455591261534,-0.4629100498862757,-0.3895968612369898,-0.5,-0.49099025303098287,-0.46319055108315654,0.039063307063155514,22
0.17627496719360353,0.02458739027081396,0.0039272308349609375,0.00025760568655079326,0.01,0.01,3,500,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'subsample': 0.5}",-0.16327378479434995,-0.11674283340257574,0.20897382633984218,-0.3028666389696719,-0.20980473618612394,-0.11674283340257588,0.17410287798865046,10,0.4897959183673469,0.52,0.6222222222222222,0.4166666666666667,0.4583333333333333,0.5014036281179138,0.06944508561877173,73,0.7872870793518905,0.8321562110511009,0.8350643955130869,0.8063980058163689,0.8196925633568758,0.8161196510178647,0.01763330870011868,4,-0.472455591261534,-0.4629100498862757,-0.3895968612369898,-0.5,-0.48181205582971576,-0.4613549116429031,0.037912528123080776,14
0.03349175453186035,0.0033945410499353528,0.003423118591308594,0.00034713190331060593,0.1,0.1,3,100,0.5,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",-0.25633568757789793,-0.16327378479434973,0.1159119235562942,-0.3493975903614459,-0.11674283340257596,-0.15396759451599507,0.15683070620619072,45,0.4489795918367347,0.5283018867924528,0.5777777777777777,0.40816326530612246,0.52,0.4966445043426175,0.06038402213319094,84,0.7980889073535521,0.8109680099709182,0.8271707519734108,0.7989198171998337,0.8334025758205235,0.8137100124636477,0.014417183762349699,5,-0.49099025303098287,-0.472455591261534,-0.411877235523957,-0.5088502445991074,-0.4629100498862757,-0.4694166748603714,0.03281092488187109,50
0.04012761116027832,0.008947225634072561,0.0032366275787353515,0.00034101520690653033,0.01,0.1,3,100,0.8,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-0.16327378479434995,-0.023680930619027762,0.20897382633984218,-0.3028666389696719,-0.3028666389696719,-0.11674283340257588,0.19297726893001294,10,0.5098039215686274,0.5925925925925926,0.6530612244897959,0.44,0.4166666666666667,0.5224248810635365,0.08958494462166393,40,0.775238886580806,0.8379725799750727,0.8338180307436643,0.8101371001246365,0.8101371001246365,0.8134607395097632,0.02235286481964323,6,-0.472455591261534,-0.44320263021395917,-0.3895968612369898,-0.5,-0.5,-0.4610510165424966,0.04144483599732074,10
0.2616827964782715,0.037195328930725004,0.005413866043090821,0.000280270814623755,0.1,0.01,9,500,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500, 'subsample': 0.5}",-0.16327378479434995,-0.023680930619027762,0.1159119235562942,-0.3028666389696719,-0.3493975903614459,-0.14466140423764026,0.1731051455443862,41,0.4897959183673469,0.56,0.5957446808510638,0.4166666666666667,0.43137254901960786,0.4987159629809371,0.07002441704208164,79,0.7901952638138762,0.8350643955130869,0.8334025758205236,0.8068134607395098,0.8014125467386789,0.8133776485251352,0.017860503302264755,7,-0.472455591261534,-0.44320263021395917,-0.411877235523957,-0.5,-0.5088502445991074,-0.46727714031971157,0.03598515357046257,42
0.2883768558502197,0.02093081106875875,0.005317831039428711,0.00014593013640354824,0.01,0.01,9,500,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500, 'subsample': 0.5}",-0.16327378479434995,0.022850020772746227,0.1159119235562942,-0.3028666389696719,-0.25633568757789793,-0.11674283340257588,0.16118794387014074,10,0.4897959183673469,0.5714285714285714,0.5957446808510638,0.4166666666666667,0.4489795918367347,0.5045230858300767,0.06901947982421175,70,0.7922725384295803,0.8325716659742418,0.8338180307436643,0.8063980058163689,0.8018280016618197,0.8133776485251352,0.016815201207425336,7,-0.472455591261534,-0.4330127018922193,-0.411877235523957,-0.5,-0.49099025303098287,-0.4616671563417386,0.03389913038776859,16
0.032540416717529295,0.0036409340956910486,0.0036703109741210937,0.00020222891559142173,0.1,0.1,3,100,0.8,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-0.20980473618612394,0.022850020772746227,0.1159119235562942,-0.4424594931449939,-0.3028666389696719,-0.16327378479434987,0.2060013033296228,53,0.5,0.6037735849056604,0.5957446808510638,0.3404255319148936,0.4166666666666667,0.4913220928676568,0.10194893406362382,90,0.7764852513502285,0.8363107602825094,0.8288325716659741,0.8097216452014956,0.8101371001246365,0.8122974657249689,0.02070683352570392,9,-0.48181205582971576,-0.4330127018922193,-0.411877235523957,-0.5261042808091513,-0.5,-0.47056125481100863,0.04226572115763181,54
0.045872163772583005,0.028542971249913632,0.003402042388916016,0.0005702447787366199,0.01,0.1,3,100,0.5,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",-0.07021188201080197,-0.11674283340257574,0.06938097216452022,-0.3028666389696719,-0.20980473618612394,-0.12604902368093068,0.12623530670710933,21,0.5660377358490566,0.5555555555555556,0.5454545454545454,0.44,0.5,0.5214095673718315,0.046522403498509335,43,0.790610718737017,0.8159534690486083,0.8196925633568758,0.8030743664312422,0.8313253012048193,0.8121312837557125,0.014038196647739353,10,-0.4531634835874829,-0.4629100498862757,-0.4225771273642583,-0.5,-0.48181205582971576,-0.46409254333354655,0.02625908973343909,26
