mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.28812289237976074,0.00764466819469067,0.01941390037536621,0.0005423289846862306,gini,6,sqrt,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 500}",-0.11674283340257596,-0.07021188201080175,0.022850020772746227,-0.4424594931449939,-0.07021188201080197,-0.13535521395928546,0.16010975154279594,11,0.45454545454545453,0.5106382978723404,0.4878048780487805,0.27906976744186046,0.5106382978723404,0.44853933915615524,0.08718985382588192,23,0.7910261736601578,0.8500207727461571,0.8454507685916078,0.7827170751973411,0.8147071042791857,0.8167843788948899,0.027403653633941934,1,-0.4629100498862757,-0.4531634835874829,-0.4330127018922193,-0.5261042808091513,-0.4531634835874829,-0.4656707999525224,0.03174663649460697,11
0.05926909446716309,0.0003543748599956951,0.005508804321289062,9.025390027386346e-05,entropy,6,sqrt,100,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 100}",-0.20980473618612394,-0.023680930619027762,0.022850020772746227,-0.25633568757789793,-0.20980473618612394,-0.13535521395928546,0.11244712497237999,11,0.38095238095238093,0.5416666666666666,0.4878048780487805,0.3076923076923077,0.4090909090909091,0.42544142849020894,0.08186449305302948,33,0.7781470710427918,0.8458662235147487,0.8388034898213543,0.8001661819692564,0.8205234732031574,0.8167012879102618,0.024954147011228334,2,-0.48181205582971576,-0.44320263021395917,-0.4330127018922193,-0.49099025303098287,-0.48181205582971576,-0.4661659393593186,0.02337648045337394,16
0.059028244018554686,0.0002583398197225496,0.005382823944091797,0.00012831867780952415,log_loss,6,sqrt,100,"{'criterion': 'log_loss', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 100}",-0.20980473618612394,-0.023680930619027762,0.022850020772746227,-0.25633568757789793,-0.20980473618612394,-0.13535521395928546,0.11244712497237999,11,0.38095238095238093,0.5416666666666666,0.4878048780487805,0.3076923076923077,0.4090909090909091,0.42544142849020894,0.08186449305302948,33,0.7781470710427918,0.8458662235147487,0.8388034898213543,0.8001661819692564,0.8205234732031574,0.8167012879102618,0.024954147011228334,2,-0.48181205582971576,-0.44320263021395917,-0.4330127018922193,-0.49099025303098287,-0.48181205582971576,-0.4661659393593186,0.02337648045337394,16
0.11874055862426758,0.0005643846296546737,0.008863067626953125,0.0002346525587585304,entropy,6,sqrt,200,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 200}",-0.25633568757789793,-0.07021188201080175,0.022850020772746227,-0.3028666389696719,-0.11674283340257596,-0.14466140423764026,0.11990187431601287,18,0.37209302325581395,0.5106382978723404,0.4878048780487805,0.3333333333333333,0.45454545454545453,0.4316829974111445,0.06801458424116436,31,0.7885334441213129,0.8446198587453263,0.8329871208973826,0.7947652679684255,0.8192771084337349,0.8160365600332365,0.021557907522674113,4,-0.49099025303098287,-0.4531634835874829,-0.4330127018922193,-0.5,-0.4629100498862757,-0.4680152976793922,0.02458736018622353,21
0.11773223876953125,0.0008523235037864066,0.008687019348144531,0.0001408577288173672,log_loss,6,sqrt,200,"{'criterion': 'log_loss', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 200}",-0.25633568757789793,-0.07021188201080175,0.022850020772746227,-0.3028666389696719,-0.11674283340257596,-0.14466140423764026,0.11990187431601287,18,0.37209302325581395,0.5106382978723404,0.4878048780487805,0.3333333333333333,0.45454545454545453,0.4316829974111445,0.06801458424116436,31,0.7885334441213129,0.8446198587453263,0.8329871208973826,0.7947652679684255,0.8192771084337349,0.8160365600332365,0.021557907522674113,4,-0.49099025303098287,-0.4531634835874829,-0.4330127018922193,-0.5,-0.4629100498862757,-0.4680152976793922,0.02458736018622353,21
0.1147233009338379,0.0013396819568118478,0.008946514129638672,7.231021293714826e-05,gini,6,sqrt,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 200}",-0.11674283340257596,-0.07021188201080175,0.022850020772746227,-0.3959285417532199,-0.11674283340257596,-0.13535521395928546,0.13990271660804043,11,0.45454545454545453,0.5106382978723404,0.4878048780487805,0.3181818181818182,0.5,0.4542340897296787,0.07058791484215839,20,0.7922725384295805,0.8462816784378895,0.8454507685916078,0.7847943498130453,0.8101371001246365,0.8157872870793519,0.02590467223044516,6,-0.4629100498862757,-0.4531634835874829,-0.4330127018922193,-0.5175491695067657,-0.4629100498862757,-0.4659090909518039,0.0280332271707453,13
0.05806469917297363,0.0006808583277850402,0.006018209457397461,0.00019689814774610966,gini,6,sqrt,100,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 100}",-0.25633568757789793,-0.07021188201080175,0.022850020772746227,-0.3493975903614459,-0.11674283340257596,-0.15396759451599507,0.1329189836305442,24,0.34146341463414637,0.5106382978723404,0.4878048780487805,0.32558139534883723,0.5,0.43309759718082086,0.08177766860708423,30,0.7769007062733694,0.8471125882841711,0.8612380556709597,0.7847943498130454,0.8026589115081014,0.8145409223099295,0.033717539375706124,7,-0.49099025303098287,-0.4531634835874829,-0.4330127018922193,-0.5088502445991074,-0.4629100498862757,-0.46978534659921356,0.027024055010825863,24
0.29784231185913085,0.001951047572034883,0.018811702728271484,0.00031143753036360993,entropy,6,sqrt,500,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 500}",-0.25633568757789793,-0.023680930619027762,0.022850020772746227,-0.25633568757789793,-0.11674283340257596,-0.12604902368093068,0.11548678424187593,5,0.4,0.5416666666666666,0.4878048780487805,0.3076923076923077,0.4782608695652174,0.44308494439459445,0.08141627926951063,28,0.7893643539675945,0.8404653095139178,0.8375571250519318,0.7860407145824679,0.8101371001246365,0.8127129206481097,0.023024450369247003,8,-0.49099025303098287,-0.44320263021395917,-0.4330127018922193,-0.49099025303098287,-0.4629100498862757,-0.4642211776108839,0.02387732876585394,8
0.2926197528839111,0.0008116532596827033,0.01834244728088379,0.00018355954016684555,log_loss,6,sqrt,500,"{'criterion': 'log_loss', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 500}",-0.25633568757789793,-0.023680930619027762,0.022850020772746227,-0.25633568757789793,-0.11674283340257596,-0.12604902368093068,0.11548678424187593,5,0.4,0.5416666666666666,0.4878048780487805,0.3076923076923077,0.4782608695652174,0.44308494439459445,0.08141627926951063,28,0.7893643539675945,0.8404653095139178,0.8375571250519318,0.7860407145824679,0.8101371001246365,0.8127129206481097,0.023024450369247003,8,-0.49099025303098287,-0.44320263021395917,-0.4330127018922193,-0.49099025303098287,-0.4629100498862757,-0.4642211776108839,0.02387732876585394,8
0.3460835933685303,0.007724137784912693,0.019244861602783204,0.0006764881116954569,entropy,6,log2,500,"{'criterion': 'entropy', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 500}",-0.20980473618612394,-0.023680930619027762,0.022850020772746227,-0.3493975903614459,-0.11674283340257596,-0.13535521395928546,0.1335689580867155,11,0.43478260869565216,0.5416666666666666,0.4878048780487805,0.35555555555555557,0.4782608695652174,0.45961411570637445,0.06216080647979847,18,0.7810552555047777,0.8475280432073121,0.8400498545907769,0.7893643539675945,0.8055670959700872,0.8127129206481097,0.026675182679370232,8,-0.48181205582971576,-0.44320263021395917,-0.4330127018922193,-0.5088502445991074,-0.4629100498862757,-0.4659575364842555,0.02721611747965871,14
