LINK,OCCURRED,CITY,STATE,COUNTRY,SHAPE,SUMMARY,REPORTED,POSTED,IMAGE
Open,12/12/23 5:45,Greenville,MS,USA,Unknown,Two red blinking lights that moved down,12/13/2023,12/20/2023,
Open,12/12/23 5:30,TATAMY Borough,PA,USA,Circle,Flash then light,12/12/2023,12/20/2023,
Open,12/11/23 22:36,Alexandria,VA,USA,Sphere,Ball of bright light no noise softball flew over house. It had a tail. Too low tl be comet it was 25ft above the ground,12/13/2023,12/20/2023,
Open,12/11/23 21:50,Bassett,VA,USA,Circle,"I saw an object move very strangely and I did not notice lights on it and it stopped and then moved, several times.",12/11/2023,12/20/2023,Y
Open,12/11/23 21:08,Seffner,FL,USA,Triangle,They kept flying zig zag and when I pointed a laser at it it disappears and reappears,12/11/2023,12/20/2023,
Open,12/11/23 18:30,Chester,England,United Kingdom,Star,I saw what looked like a star moving across the sky but it was flashing as it moved then it disappeared. It was pulsating.,12/12/2023,12/20/2023,
Open,12/11/23 17:45,Sacramento,CA,USA,Changing,Object originally appeared yellow white light in a stick shape then turned to a cross shape and then bluish white blinking lights,12/12/2023,12/20/2023,
Open,12/11/23 17:31,Barcelona,Catalunya,Spain,Other,I have a series of videos with weird shapeshifting objects. This one seems massive though,12/11/2023,12/20/2023,Y
Open,12/11/23 16:45,Morro Bay,CA,USA,Chevron,An object moving through the sky then disappearing,12/11/2023,12/20/2023,
Open,12/11/23 14:14,Litchfield,SC,USA,Unknown,Object flying in many directions,12/11/2023,12/20/2023,
Open,12/11/23 6:53,San Leandro,CA,USA,Circle,Object traveling very fast doing sprials and zig zagging across the sky,12/11/2023,12/20/2023,Y
Open,12/11/23 5:00,Fareham,England,United Kingdom,Unknown,Saw something moving in the sky,12/11/2023,12/20/2023,Y
Open,12/10/23 22:50,Paragould,AR,USA,Light,4 bright lights changing up coordinations,12/10/2023,12/20/2023,
Open,12/10/23 17:14,Scottsdale,AZ,USA,Circle,"Possibly drone, but very high altitude",12/10/2023,12/20/2023,Y
Open,12/9/23 18:42,Brooklyn,NY,USA,Orb,My son told me there were lights in the sky so I came to look. We saw 9 objects in the sky that disappeared into the clouds.,12/14/2023,12/20/2023,Y
Open,12/9/23 4:21,Moore Haven,FL,USA,Other,It was like an oval shape but bigger on one side with jagged edges.,12/14/2023,12/20/2023,
Open !,12/8/23 21:00,Lowell,MI,USA,Disk,Greyish disc with two bright white lights one on each side on front circumference and multi colored red green lights,12/11/2023,12/20/2023,Y
Open,12/8/23 20:00,Pittsburgh,PA,USA,Chevron,"My husband and I saw and took a video of a very large, chevron shaped craft with a straight row of lights across the back center.",12/8/2023,12/9/2023,Y
Open,12/8/23 19:30,Kingston,TN,USA,Orb,5 second pulsating light low altitude moving steady and fast,12/9/2023,12/9/2023,
Open,12/8/23 17:30,West Goshen Township,PA,USA,Orb,Amber light. High altitude,12/11/2023,12/20/2023,
Open,12/8/23 16:40,Fitchburg,MA,USA,Light,Saw a non blinking moving light while driving with a possible smaller light descending from it,12/10/2023,12/20/2023,Y
Open,12/8/23 4:29,Lawrence,KS,USA,Orb,I’ve seen it before but never recorded it. Pulsing orb with “solar flares” coming from it. Hovers for 15-20 mins then disappears.,12/8/2023,12/9/2023,Y
Open,12/8/23 4:11,Macomb,MI,USA,Egg,"Caught on Ring camera, invisible to naked eye",12/8/2023,12/9/2023,
Open,12/7/23 23:27,Gig Harbor,WA,USA,Changing,"We spotted a bright blinking object in the sky, it did not appear to be moving but was chain thing colors and pulsating rapidly.",12/7/2023,12/9/2023,Y
Open,12/7/23 22:12,Honea Path,SC,USA,Disk,"This craft was soundless, seemed to float extremely quickly across sky as if it was water",12/7/2023,12/9/2023,
Open,12/7/23 21:50,Martinsville,VA,USA,Circle,I viewed the anomaly for about 30 minutes after work and it wasn’t there tonight,12/8/2023,12/9/2023,Y
Open,12/7/23 20:40,Fairfax,MO,USA,Light,Orange lights seen ascending up from great height,12/8/2023,12/9/2023,
Open,12/7/23 20:09,Wellfleet,MA,USA,Light,Bright lights changing in intensity,12/8/2023,12/9/2023,Y
Open,12/7/23 19:20,Rehoboth Beach,DE,USA,Rectangle,"Took my dog out, noticed some objects in the sky that did not look natural, took a video, immediately said to my son I just saw ET.",12/15/2023,12/20/2023,Y
Open,12/7/23 18:00,Mill Valley,CA,USA,Unknown,Series of green bird shaped ufo's moving in a line quickly accross the sky and disappearing.,12/7/2023,12/9/2023,
Open,12/7/23 12:33,Memphis,TN,USA,Fireball,There was a light beam in the tree emitting a fireball to the ground,12/8/2023,12/9/2023,Y
Open,12/7/23 11:05,Columbus,OH,USA,Orb,Another glowing white orb passing over my house,12/7/2023,12/9/2023,Y
Open,12/7/23 0:00,Roberts,WI,USA,Triangle,Silent craft with 9 flashing lights was seen on a clear night before the clouds interrupted visibility.,12/7/2023,12/9/2023,
Open,12/6/23 23:50,Pearland,TX,USA,Flash,"Whille stargazing with nitevision monocular, spotted a curious flashing light that had a pattern to it, wasnt a plane, satellite, meteo",12/11/2023,12/20/2023,Y
Open,12/6/23 19:45,Red Lion,PA,USA,Light,This is the second sighting of this object in the same location. It appears as a white pulsating light,12/6/2023,12/9/2023,Y
Open,12/6/23 14:00,San Diego,CA,USA,Diamond,Witnessed object that appeared to be rotating and either reflecting light or flashing bright light. Easier to share the video.,12/6/2023,12/9/2023,Y
Open,12/6/23 11:59,Melbourne,FL,USA,Disk,Hovering in place until shooting off southbound and disappearing in a small flash of light.,12/6/2023,12/9/2023,Y
Open,12/6/23 5:30,Port Harcourt,Rivers,Nigeria,Light,I sighted an object that has something like a small helicopter with a long smoky tail and was moving west ward,12/6/2023,12/9/2023,
Open,12/6/23 3:00,Lawler,IA,USA,Light,4 to 5 lights in the sky to the east of New Hampton IA aprox 10 miles roughly above Lawler IA,12/6/2023,12/9/2023,
Open,12/6/23 1:36,Latexo,TX,USA,Orb,"Standing on front steps of house, looking west. Seen between Mars and horizon.",12/6/2023,12/9/2023,
